,label,text
0,0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,0,ok lar joking wif u oni
2,1,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
3,0,u dun say early hor u c already say
4,0,nah dont think goes usf lives around though
5,1,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send rcv
6,0,even brother like speak treat like aids patent
7,0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
8,1,winner valued network customer selected receivea prize reward claim call claim code kl valid hours
9,1,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
10,0,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
11,1,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
12,1,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
13,0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
14,0,date sunday
15,1,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,0,oh kim watching
17,0,eh u remember spell name yes v naughty make v wet
18,0,fine thats way u feel thats way gota b
19,1,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt poboxoxwwq
20,0,seriously spell name
21,0,im going try months ha ha joking
22,0,pay first lar da stock comin
23,0,aft finish lunch go str lor ard smth lor u finish ur lunch already
24,0,ffffffffff alright way meet sooner
25,0,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
26,0,lol always convincing
27,0,catch bus frying egg make tea eating moms left dinner feel love
28,0,im back amp packing car ill let know theres room
29,0,ahhh work vaguely remember feel like lol
30,0,wait thats still clear sure sarcastic thats x doesnt want live us
31,0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
32,0,k tell anything
33,0,fear fainting housework quick cuppa
34,1,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
35,0,yup ok go home look timings msg xuhui going learn nd may lesson
36,0,oops ill let know roommates done
37,0,see letter b car
38,0,anything lor u decide
39,0,hello hows saturday go texting see youd decided anything tomo im trying invite anything
40,0,pls go ahead watts wanted sure great weekend abiola
41,0,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,1,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
43,0,seeing
44,0,great hope like man well endowed ltgt inches
45,0,callsmessagesmissed calls
46,0,didnt get hep b immunisation nigeria
47,0,fair enough anything going
48,0,yeah hopefully tyler cant could maybe ask around bit
49,0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
50,0,thinked first time saw class
51,0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
52,0,k fyi x ride early tomorrow morning hes crashing place tonight
53,0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
54,1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
55,0,know mallika sherawat yesterday find lturlgt
56,1,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss
57,0,sorry ill call later meeting
58,0,tell reached
59,0,yesgauti sehwag odi series
60,0,gon na pick burger way home cant even move pain killing
61,0,ha ha ha good joke girls situation seekers
62,0,part checking iq
63,0,sorry roommates took forever ok come
64,0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,1,valued customer pleased advise following recent review mob awarded bonus prize call
66,0,today song dedicated day song u dedicate send ur valuable frnds first rply
67,1,urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt ls aj
68,1,hear new divorce barbie comes kens stuff
69,0,plane give month end
70,0,wah lucky man save money hee
71,0,finished class
72,0,hi babe im home wan na something xx
73,0,kkwhere youhow performed
74,0,u call
75,0,waiting machan call free
76,0,thats cool gentleman treat dignity respect
77,0,like peoples much shy pa
78,0,operate ltgt
79,0,still looking job much tas earn
80,0,sorry ill call later
81,0,k call ah
82,0,ok way home hi hi
83,0,place man
84,0,yup next stop
85,0,call later dont network urgnt sms
86,0,real u getting yo need tickets one jacket im done already used multis
87,0,yes started send requests make pain came back im back bed double coins factory got ta cash nitros
88,0,im really still tonight babe
89,0,ela kanoil download come wen ur free
90,0,yeah dont stand close tho youll catch something
91,0,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry
92,0,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
93,1,please call customer service representative ampm guaranteed cash prize
94,0,havent planning buy later check already lido got show e afternoon u finish work already
95,1,free ringtone waiting collected simply text password mix verify get usher britney fml
96,0,watching telugu moviewat abt u
97,0,see finish loads loans pay
98,0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
99,0,please dont text anymore nothing else say
100,0,okay name ur price long legal wen pick u ave x ams xx
101,0,im still looking car buy gone driving test yet
103,0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
104,0,umma life vava umma love lot dear
105,0,thanks lot wishes birthday thanks making birthday truly memorable
106,0,aight ill hit get cash
107,0,would ip address test considering computer isnt minecraft server
108,0,know grumpy old people mom like better lying always one play jokes
109,0,dont worry guess hes busy
110,0,plural noun research
111,0,going dinnermsg
112,0,im ok wif cos like try new things scared u dun like mah cos u said loud
113,1,gent trying contact last weekends draw shows prize guaranteed call claim code k valid hrs ppm
114,0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
115,0,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
116,1,winner u specially selected receive holiday flights inc speak live operator claim pmin
117,0,goodo yes must speak friday eggpotato ratio tortilla needed
118,0,hmmmy uncle informed hes paying school directly pls buy food
119,1,private account statement shows unredeemed bonus points claim call identifier code expires
120,1,urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm
121,0,new address applespairsall malarky
122,1,todays voda numbers ending selected receive award match please call quoting claim code standard rates app
123,0,going sao mu today done
124,0,predict wat time finish buying
125,0,good stuff
126,0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
127,0,room
128,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,0,kkhow much cost
130,0,im home
131,0,dear call tmorrowpls accomodate
132,0,first answer question
133,1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sptyrone
134,1,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp
135,0,haf msn yijuehotmailcom
136,0,call meet
137,0,check rooms befor activities
138,1,youll rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try
139,0,got c lazy type forgot lect saw pouch like v nice
140,0,k text youre way
141,0,sir waiting mail
142,0,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni
143,0,know pls open back
144,0,yes see ya dot
145,0,whats staff name taking class us
146,1,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
147,0,ummmawill call check inour life begin qatar pls pray hard
148,0,ki deleted contact
149,0,sindu got job birla soft
150,0,wine flowing im nevering
151,0,yup thk cine better cos need go plaza mah
152,0,ok ur typical reply
154,0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one
155,0,aaooooright work
156,0,im leaving house
157,0,hello love get interview today happy good boy think meare missing
158,1,customer service annoncement new years delivery waiting please call arrange delivery
159,1,winner u specially selected receive cash holiday flights inc speak live operator claim
160,0,keep safe need miss already envy everyone sees real life
161,0,new car house parentsi new job hand
162,0,im love im excited day spend make happy
163,1,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd
164,1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu
165,0,place ur points e cultures module already
166,1,urgent trying contact last weekends draw shows prize guaranteed call claim code valid hrs
167,0,hi frnd best way avoid missunderstding wit beloved ones
168,0,great escape fancy bridge needs lager see tomo
169,0,yes completely formclark also utter waste
170,0,sir need axis bank account bank address
171,0,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
172,0,time coming later
173,0,bloody hell cant believe forgot surname mr ill give u clue spanish begins
174,0,well im gon na finish bath goodfine night
175,0,let know youve got money carlos make call
176,0,u still going mall
177,0,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
178,0,text doesnt reply let know log
179,0,hi spoke maneesha v wed like know satisfied experience reply toll free yes
180,0,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend
181,0,lol u trust
182,0,ok gentleman treat dignity respect
183,0,guys close
184,0,going nothing greatbye
185,0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
186,0,haha awesome minute
187,1,please call customer service representative freephone ampm guaranteed cash prize
188,0,got xmas radio times get
189,0,jus reached home go bathe first sis using net tell u finishes k
190,1,unique enough find th august wwwareyouuniquecouk
191,0,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week
192,0,hi finally completed course
193,0,stop however suggest stays someone able give ors every stool
194,0,hope youve settled new school year wishin gr day
195,0,gud mrng dear hav nice day
196,0,u got persons story
197,0,hamster dead hey tmr meet pm orchard mrt
198,0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
199,0,found enc ltgt
200,0,sent ltgt bucks
201,0,hello darlin ive finished college txt u finish u love kate xxx
202,0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt
203,0,goodmorning sleeping ga
204,0,u call alter ok
205,0,say like dat dun buy ericsson oso oredi lar
207,0,aight yo dats straight dogg
208,0,please give us connection today ltdecimalgt refund bill
209,0,shoot big loads get ready
210,0,whats bruv hope great break rewarding semester
211,0,home always chat
212,0,kkgoodstudy well
213,0,yup noe leh
214,0,sounds great home
215,0,finally match heading towards draw prediction
216,0,tired havent slept well past nights
217,0,easy ahsen got selected means good
218,0,take exam march
219,0,yeah think use gt atm register sure theres anyway help let know sure ready
220,0,ok prob take ur time
221,0,os called ubandu run without installing hard diskyou use os copy important files system give repair shop
223,0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
